"file","table","id_field","id_column_guess"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Retourcuve.java","Retourcuve","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Role.java","Role","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Societe.java","Societe","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Soldetpe.java","Soldetpe","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Ticket.java","Ticket","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\Tracegestat.java","Tracegestat","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\paie\Tracepaie.java","Tracepaie","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Traceshop.java","Traceshop","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\transport\Tracetransport.java","tracetransport","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\banque\Transaction.java","Transaction","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\TransactionDepense.java","Transactiondepense","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\gestat\TransactionCredit.java","Transactionrecdit","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Transfert.java","Transfert","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Tva.java","Tva","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\shop\Vente.java","Vente","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\vetement\Vetement.java","Vetement","id","id"
"D:\Data\Projets\PortailShellRR21\src\main\java\com\tn\shell\model\transport\Vhecule.java","vhecule","id","id"
